canonical_ref,chapter,verse,speaker,devanagari,iast,english_telang,review_status,checksum
"gita.3.14","3","14","Krishna","अन्नाद्भवन्ति भूतानि पर्जन्यादन्नसम्भवः।
यज्ञाद्भवति पर्जन्यो यज्ञः कर्मसमुद्भवः ॥","annādbhavanti bhūtāni parjanyādannasambhavaḥ
yajñādbhavati parjanyo yajñaḥ karmasamudbhavaḥ","incur sin. From food are born (all) creatures from rain is the production of food rain is produced by sacrifices sacrifices are the result of action","machine-aligned; two human reviews pending","480cd41890aef2615bd8292c13261067cfcbf3f97b45dc59bbed159a5d29b898"
"gita.3.15","3","15","Krishna","कर्म ब्रह्मोद्भवं विद्धि ब्रह्माक्षरसमुद्भवम्।
तस्मात्सर्वगतं ब्रह्म नित्यं यज्ञे प्रतिष्ठितम् ॥","karma brahmodbhavaṃ viddhi brahmākṣarasamudbhavam
tasmātsarvagataṃ brahma nityaṃ yajñe pratiṣṭhitam","know that action has its source in the Vedas the Vedas come from the Indestructible. Therefore the all-comprehending Vedas are always concerned with sacrifices.","machine-aligned; two human reviews pending","633af556e8eb3773f739659e9752eae15778d0f953ea24c32fd252fa08e1d254"
"gita.3.16","3","16","Krishna","एवं प्रवर्तितं चक्रं नानुवर्तयतीह यः।
अघायुरिन्द्रियारामो मोघं पार्थ स जीवति ॥","evaṃ pravartitaṃ cakraṃ nānuvartayatīha yaḥ
aghāyurindriyārāmo moghaṃ pārtha sa jīvati","He who in this world does not turn round the wheel revolving thus is of sinful life indulging his senses","machine-aligned; two human reviews pending","e6e70310fc9f74eb2a19ef698e9b7b0c795b915e70486393c0ee6cc862902049"
"gita.3.17","3","17","Krishna","यस्त्वात्मरतिरेव स्यादात्मतृप्तश्च मानवः।
आत्मन्येव च सन्तुष्टस्तस्य कार्यं न विद्यते ॥","yastvātmaratireva syādātmatṛptaśca mānavaḥ
ātmanyeva ca santuṣṭastasya kāryaṃ na vidyate","and O son of Pṛthā! he lives in vain. But the man who is attached to his self only who is contented in his self and is pleased with his self has nothing to do.","machine-aligned; two human reviews pending","127c53492056e882e94787fad56b1e32957ded5e3c8e53d5af1eb3e6b878d2ac"
"gita.3.18","3","18","Krishna","नैव तस्य कृतेनार्थो नाकृतेनेह कश्चन।
न चास्य सर्वभूतेषु कश्चिदर्थव्यपाश्रयः ॥","naiva tasya kṛtenārtho nākṛteneha kaścana
na cāsya sarvabhūteṣu kaścidarthavyapāśrayaḥ","He has no interest at all in what is done, and none whatever in what is not done, in this world nor is any interest of his dependent on any being.","machine-aligned; two human reviews pending","cdea188db967b260c460ef7d78d6a667a206867c60f033a98c990eee06dddaa4"
"gita.3.19","3","19","Krishna","तस्मादसक्तः सततं कार्यं कर्म समाचर।
असक्तो ह्याचरन्कर्म परमाप्नोति पूरुषः ॥","tasmādasaktaḥ satataṃ kāryaṃ karma samācara
asakto hyācarankarma paramāpnoti pūruṣaḥ","Therefore always perform action, which must be performed, without attachment. For a man, performing action without attachment, attains the Supreme.","machine-aligned; two human reviews pending","0e054afc370a4b10cadec3a4ac5a46690e684a49ec0e76280426f923badf69f4"
"gita.3.20","3","20","Krishna","कर्मणैव हि संसिद्धिमास्थिता जनकादयः।
लोकसंग्रहमेवापि सम्पश्यन्कर्तुमर्हसि ॥","karmaṇaiva hi saṃsiddhimāsthitā janakādayaḥ
lokasaṃgrahamevāpi sampaśyankartumarhasi","By action alone, did Janaka and the rest work for perfection. And having regard also to the keeping of people (to their duties) you should perform action.","machine-aligned; two human reviews pending","d8c35e66bd6ff4f62328495b6269f52094c123e7d5c68df28476ee085caad3fd"
"gita.3.21","3","21","Krishna","यद्यदाचरति श्रेष्ठस्तत्तदेवेतरो जनः।
स यत्प्रमाणं कुरुते लोकस्तदनुवर्तते ॥","yadyadācarati śreṣṭhastattadevetaro janaḥ
sa yatpramāṇaṃ kurute lokastadanuvartate","Whatever a great man does, that other men also do. And people follow whatever he receives as authority.","machine-aligned; two human reviews pending","81a74eac4e89a060dbe7d4f47cbd31176219727848cb915d04026c561795d1a0"
"gita.3.22","3","22","Krishna","न मे पार्थास्ति कर्तव्यं त्रिषु लोकेषु किञ्चन।
नानवाप्तमवाप्तव्यं वर्त एव च कर्मणि ॥","na me pārthāsti kartavyaṃ triṣu lokeṣu kiñcana
nānavāptamavāptavyaṃ varta eva ca karmaṇi","There is nothing, O son of Pṛthā! for me to do in (all) the three worlds, nothing to acquire which has not been acquired. Still I do engage in action. For should I at any time not engage without sloth in action","machine-aligned; two human reviews pending","ba8ca4c82018ece2de8810522b63aa00b21b4ac1c3e430f1a8ce2e2c8eee815a"
"gita.3.23","3","23","Krishna","यदि ह्यहं न वर्तेयं जातु कर्मण्यतन्द्रितः।
मम वर्त्मानुवर्तन्ते मनुष्याः पार्थ सर्वशः ॥","yadi hyahaṃ na varteyaṃ jātu karmaṇyatandritaḥ
mama vartmānuvartante manuṣyāḥ pārtha sarvaśaḥ","men would follow in my path from all sides","machine-aligned; two human reviews pending","6b338e1e88aeacafefd4e5747b65a248720b061d82629c34501428b8403e97d8"
"gita.3.24","3","24","Krishna","उत्सीदेयुरिमे लोका न कुर्यां कर्म चेदहम्।
सङ्करस्य च कर्ता स्यामुपहन्यामिमाः प्रजाः ॥","utsīdeyurime lokā na kuryāṃ karma cedaham
saṅkarasya ca kartā syāmupahanyāmimāḥ prajāḥ","O son of Pṛthā! If I did not perform actions, these worlds would be destroyed, I should be the cause of caste interminglings and I should be ruining these people. As the ignorant act","machine-aligned; two human reviews pending","315069397f510b6e35a154b60e5653793712868a11c88fe0709d6d2da7cc2386"
"gita.3.25","3","25","Krishna","सक्ताः कर्मण्यविद्वांसो यथा कुर्वन्ति भारत।
कुर्याद्विद्वांस्तथासक्तश्चिकीर्षुर्लोकसंग्रहम् ॥","saktāḥ karmaṇyavidvāṃso yathā kurvanti bhārata
kuryādvidvāṃstathāsaktaścikīrṣurlokasaṃgraham","O descendant of Bharata! with attachment to action so should a wise man act without attachment","machine-aligned; two human reviews pending","6d276b14f07848092e0515c4755cec0391948dba2e4b9189b92bbb9fb8ba145b"
"gita.3.26","3","26","Krishna","न बुद्धिभेदं जनयेदज्ञानां कर्मसङ्गिनाम्।
जोषयेत्सर्वकर्माणि विद्वान्युक्तः समाचरन् ॥","na buddhibhedaṃ janayedajñānāṃ karmasaṅginām
joṣayetsarvakarmāṇi vidvānyuktaḥ samācaran","wishing to keep the people (to their duties). A wise man should not shake the convictions of the ignorant who are attached to action but acting with devotion (himself ) should make them apply themselves to all action.","machine-aligned; two human reviews pending","f2f6e297b1c9e9a21794be42815207fff540cff101b490a26716c958518f64ae"
"gita.3.27","3","27","Krishna","प्रकृतेः क्रियमाणानि गुणैः कर्माणि सर्वशः।
अहङ्कारविमूढात्मा कर्ताहमिति मन्यते ॥","prakṛteḥ kriyamāṇāni guṇaiḥ karmāṇi sarvaśaḥ
ahaṅkāravimūḍhātmā kartāhamiti manyate","He whose mind is deluded by egoism thinks himself the doer of the actions which","machine-aligned; two human reviews pending","acc3e4fd39e9bdf9a6ee9ea48dde1939e65cf737f8022da8956be113f7ec9aef"
"gita.3.28","3","28","Krishna","तत्त्ववित्तु महाबाहो गुणकर्मविभागयोः।
गुणा गुणेषु वर्तन्त इति मत्वा न सज्जते ॥","tattvavittu mahābāho guṇakarmavibhāgayoḥ
guṇā guṇeṣu vartanta iti matvā na sajjate","in every way are done by the qualities of nature. But he O you of mighty arms! who knows the truth about the difference from qualities and the difference from actions forms no attachments","machine-aligned; two human reviews pending","e393c113fbb0de00216ac37734bdd4c8e6e0d3e717cf73330cb2aa3a014d21a7"
"gita.3.29","3","29","Krishna","प्रकृतेर्गुणसम्मूढाः सज्जन्ते गुणकर्मसु।
तानकृत्स्नविदो मन्दान्कृत्स्नविन्न विचालयेत् ॥","prakṛterguṇasammūḍhāḥ sajjante guṇakarmasu
tānakṛtsnavido mandānkṛtsnavinna vicālayet","believing that qualities deal with qualities. But those who are deluded by the qualities of nature form attachments to the actions of the qualities. A man of perfect knowledge should not shake these men of imperfect knowledge (in their convictions).","machine-aligned; two human reviews pending","f65149239d5af4eae7afeb9532eebec519c0810b20ce2ccb5f1b0884d6117105"
"gita.3.30","3","30","Krishna","मयि सर्वाणि कर्माणि संन्यस्याध्यात्मचेतसा।
निराशीर्निर्ममो भूत्वा युध्यस्व विगतज्वरः ॥","mayi sarvāṇi karmāṇi saṃnyasyādhyātmacetasā
nirāśīrnirmamo bhūtvā yudhyasva vigatajvaraḥ","Dedicating all actions to me with a mind knowing the relation of the supreme and individual self engage in battle without desire without (any feeling that this or that is) mine and without any mental trouble.","machine-aligned; two human reviews pending","1ff7db483842345d1ebd31d3eca5f35898ae98f2bacc49b629da211a9dfeb7a3"
"gita.3.31","3","31","Krishna","ये मे मतमिदं नित्यमनुतिष्ठन्ति मानवाः।
श्रद्धावन्तोऽनसूयन्तो मुच्यन्ते तेऽपि कर्मभिः ॥","ye me matamidaṃ nityamanutiṣṭhanti mānavāḥ
śraddhāvanto.anasūyanto mucyante te.api karmabhiḥ","Even those men who always act on this opinion of mine full of faith and without carping are released from all actions. But those who carp at my opinion and do not act upon it","machine-aligned; two human reviews pending","93b4922f379bc917a92e2de1b555e7534f385cbd8919be0fdd4be7bd3eca0038"
"gita.3.32","3","32","Krishna","ये त्वेतदभ्यसूयन्तो नानुतिष्ठन्ति मे मतम्।
सर्वज्ञानविमूढांस्तान्विद्धि नष्टानचेतसः ॥","ye tvetadabhyasūyanto nānutiṣṭhanti me matam
sarvajñānavimūḍhāṃstānviddhi naṣṭānacetasaḥ","know them to be devoid of discrimination deluded as regards all knowledge","machine-aligned; two human reviews pending","0d8c951a5fbf7c1c7620cc8eed8b19338392f184e45cceaa163f3b4db09beef9"
"gita.3.33","3","33","Krishna","सदृशं चेष्टते स्वस्याः प्रकृतेर्ज्ञानवानपि।
प्रकृतिं यान्ति भूतानि निग्रहः किं करिष्यति ॥","sadṛśaṃ ceṣṭate svasyāḥ prakṛterjñānavānapi
prakṛtiṃ yānti bhūtāni nigrahaḥ kiṃ kariṣyati","and ruined. Even a man of knowledge acts consonantly to his own nature. All beings follow nature. What will restraint effect?","machine-aligned; two human reviews pending","25f269a1952a33c08e12e9ae5fb4a26959bdeab28c2fec5310e57302762c3677"
"gita.3.34","3","34","Krishna","इन्द्रियस्येन्द्रियस्यार्थे रागद्वेषौ व्यवस्थितौ।
तयोर्न वशमागच्छेत्तौ ह्यस्य परिपन्थिनौ ॥","indriyasyendriyasyārthe rāgadveṣau vyavasthitau
tayorna vaśamāgacchettau hyasya paripanthinau","Every sense has its affections and aversions towards its objects fixed. One should not become subject to them, for they are one's opponents.","machine-aligned; two human reviews pending","6a3a1eeb0c1311d048dc7fa53627b89169a8ed5134c66aae473924be2160acb9"
"gita.3.35","3","35","Krishna","श्रेयान्स्वधर्मो विगुणः परधर्मात्स्वनुष्ठितात्।
स्वधर्मे निधनं श्रेयः परधर्मो भयावहः ॥","śreyānsvadharmo viguṇaḥ paradharmātsvanuṣṭhitāt
svadharme nidhanaṃ śreyaḥ paradharmo bhayāvahaḥ","One's own duty, though defective, is better than another's duty well performed. Death in (performing) one's own duty is preferable the (performance of the) duty of others is dangerous.","machine-aligned; two human reviews pending","82ee58e47168b7d0b468459b756253a598817c76c1f0b5528dfa6591c7b441f6"
"gita.3.36","3","36","Arjuna","अर्जुन उवाच।
अथ केन प्रयुक्तोऽयं पापं चरति पूरुषः।
अनिच्छन्नपि वार्ष्णेय बलादिव नियोजितः ॥","arjuna uvāca
atha kena prayukto.ayaṃ pāpaṃ carati pūruṣaḥ
anicchannapi vārṣṇeya balādiva niyojitaḥ","But by whom, O descendant of Vṛṣṇi! is man impelled, even though unwilling, and, as it were, constrained by force, to commit sin? The Deity said:","machine-aligned; two human reviews pending","07414f2c377b28780a7ee1744a2b9ee90d4a5fb905ad2d522456e3ab563cb802"
"gita.3.37","3","37","Krishna","श्रीभगवानुवाच।
काम एष क्रोध एष रजोगुणसमुद्भवः।
महाशनो महापाप्मा विद्ध्येनमिह वैरिणम् ॥","śrībhagavānuvāca
kāma eṣa krodha eṣa rajoguṇasamudbhavaḥ
mahāśano mahāpāpmā viddhyenamiha vairiṇam","It is desire, it is wrath, born from the quality of passion it is very ravenous, very sinful. Know that that is the foe in this world. As fire is enveloped by smoke","machine-aligned; two human reviews pending","cc2b04c87362e9d0dbb322d61f0a4c4345eb06179203a433792c191221da28bc"
"gita.3.38","3","38","Krishna","धूमेनाव्रियते वह्निर्यथादर्शो मलेन च।
यथोल्बेनावृतो गर्भस्तथा तेनेदमावृतम् ॥","dhūmenāvriyate vahniryathādarśo malena ca
yatholbenāvṛto garbhastathā tenedamāvṛtam","a mirror by dust","machine-aligned; two human reviews pending","5240f9e40c8ab4f2ddb2729474fb15a5b2dcafd40151a9c2c0af11321939abc9"
"gita.3.39","3","39","Krishna","आवृतं ज्ञानमेतेन ज्ञानिनो नित्यवैरिणा।
कामरूपेण कौन्तेय दुष्पूरेणानलेन च ॥","āvṛtaṃ jñānametena jñānino nityavairiṇā
kāmarūpeṇa kaunteya duṣpūreṇānalena ca","the fœtus by the womb so is this enveloped by desire. Knowledge, O son of Kuntī! is enveloped by this constant foe of the man of knowledge, in the shape of desire, which is like a fire and insatiable.","machine-aligned; two human reviews pending","a2eb8c833d42be1d4b89c8ce76c7eeeee522b1a6f2db28ffdf4c35a1cedfc835"
"gita.3.40","3","40","Krishna","इन्द्रियाणि मनो बुद्धिरस्याधिष्ठानमुच्यते।
एतैर्विमोहयत्येष ज्ञानमावृत्य देहिनम् ॥","indriyāṇi mano buddhirasyādhiṣṭhānamucyate
etairvimohayatyeṣa jñānamāvṛtya dehinam","The senses, the mind, and the understanding are said to be its seat with these it deludes the embodied (self) after enveloping knowledge.","machine-aligned; two human reviews pending","83942ebe50d4c445694ee1428cd7b24a80842558c4479f850c68149461789fb6"
"gita.3.41","3","41","Krishna","तस्मात्त्वमिन्द्रियाण्यादौ नियम्य भरतर्षभ।
पाप्मानं प्रजहि ह्येनं ज्ञानविज्ञाननाशनम् ॥","tasmāttvamindriyāṇyādau niyamya bharatarṣabha
pāpmānaṃ prajahi hyenaṃ jñānavijñānanāśanam","Therefore, O chief of the descendants of Bharata! first restrain your senses, then cast off this sinful thing which destroys knowledge and experience.","machine-aligned; two human reviews pending","ed89502058bf84f4a7647f0990745af251a2d07d23f0b63a844817aa2e0c906e"
"gita.3.42","3","42","Krishna","इन्द्रियाणि पराण्याहुरिन्द्रियेभ्यः परं मनः।
मनसस्तु परा बुद्धिर्यो बुद्धेः परतस्तु सः ॥","indriyāṇi parāṇyāhurindriyebhyaḥ paraṃ manaḥ
manasastu parā buddhiryo buddheḥ paratastu saḥ","It has been said, Great are the senses, greater than the senses is the mind, greater than the mind is the understanding. What is greater than the understanding is that.","machine-aligned; two human reviews pending","65644d2161ce6be34aeb0de3fd366cb95f3a01f7490ca1e6ac8de690efedf8f9"
"gita.3.43","3","43","Krishna","एवं बुद्धेः परं बुद्ध्वा संस्तभ्यात्मानमात्मना।
जहि शत्रुं महाबाहो कामरूपं दुरासदम् ॥","evaṃ buddheḥ paraṃ buddhvā saṃstabhyātmānamātmanā
jahi śatruṃ mahābāho kāmarūpaṃ durāsadam","Thus knowing that which is higher than the understanding, and restraining (your)self by (your)self, O you of mighty arms! destroy this unmanageable enemy in the shape of desire.","machine-aligned; two human reviews pending","95bca8f62653b298c5a65d742cfa10b0d86e94a4772a7fc2e920e419ed4b768b"
"gita.4.1","4","1","Krishna","श्रीभगवानुवाच।
इमं विवस्वते योगं प्रोक्तवानहमव्ययम्।
विवस्वान्मनवे प्राह मनुरिक्ष्वाकवेऽब्रवीत् ॥","śrībhagavānuvāca
imaṃ vivasvate yogaṃ proktavānahamavyayam
vivasvānmanave prāha manurikṣvākave.abravīt","This everlasting (system of) devotion I declared to the sun, the sun declared it to Manu , and Manu communicated it to Ikṣvāku. Coming thus by steps","machine-aligned; two human reviews pending","0398350c686307fe9b9b3249a0623ce9b072eb0e8814dd8b3a6a5513efb6c0c5"
"gita.4.2","4","2","Krishna","एवं परम्पराप्राप्तमिमं राजर्षयो विदुः।
स कालेनेह महता योगो नष्टः परन्तप ॥","evaṃ paramparāprāptamimaṃ rājarṣayo viduḥ
sa kāleneha mahatā yogo naṣṭaḥ parantapa","it became known to royal sages. But O terror of (your) foes! that devotion was lost to the world by long (lapse of) time. That same primeval devotion I have declared to you to-day","machine-aligned; two human reviews pending","35a104417b9deb7b5dfe59b9d9afc6afc96d9764ef643f374279e6db04024761"
"gita.4.3","4","3","Krishna","स एवायं मया तेऽद्य योगः प्रोक्तः पुरातनः।
भक्तोऽसि मे सखा चेति रहस्यं ह्येतदुत्तमम् ॥","sa evāyaṃ mayā te.adya yogaḥ proktaḥ purātanaḥ
bhakto.asi me sakhā ceti rahasyaṃ hyetaduttamam","seeing. that you are my devotee and friend for it is the highest mystery.","machine-aligned; two human reviews pending","baf705209f2efd869266628f900e9e42f2f4758922a34314e3a530fb6073483d"
"gita.4.4","4","4","Arjuna","अर्जुन उवाच।
अपरं भवतो जन्म परं जन्म विवस्वतः।
कथमेतद्विजानीयां त्वमादौ प्रोक्तवानिति ॥","arjuna uvāca
aparaṃ bhavato janma paraṃ janma vivasvataḥ
kathametadvijānīyāṃ tvamādau proktavāniti","Later is your birth the birth of the sun is prior. How then shall I understand that you declared (this) first?","machine-aligned; two human reviews pending","a7227ef07c2413a6c5fed9599f0da90486a083e632acc5f6993f8cd6dcf9c18a"
"gita.4.5","4","5","Krishna","श्रीभगवानुवाच।
बहूनि मे व्यतीतानि जन्मानि तव चार्जुन।
तान्यहं वेद सर्वाणि न त्वं वेत्थ परन्तप ॥","śrībhagavānuvāca
bahūni me vyatītāni janmāni tava cārjuna
tānyahaṃ veda sarvāṇi na tvaṃ vettha parantapa","I have passed through many births, O Arjuna I and you also. I know them all, but you, O terror of (your) foes! do not know them.","machine-aligned; two human reviews pending","e0c5d83cfc4e0dcd71d615adcb869e859d60a222edc5f4f3e31efbb0b56fbe51"
"gita.4.6","4","6","Krishna","अजोऽपि सन्नव्ययात्मा भूतानामीश्वरोऽपि सन्।
प्रकृतिं स्वामधिष्ठाय सम्भवाम्यात्ममायया ॥","ajo.api sannavyayātmā bhūtānāmīśvaro.api san
prakṛtiṃ svāmadhiṣṭhāya sambhavāmyātmamāyayā","Even though I am unborn and inexhaustible in (my) essence even though I am lord of all beings still I take up the control of my own nature and am born by means of my delusive power.","machine-aligned; two human reviews pending","98710aff0087073025e6238f56d25a842710937ee383421e322a2b8a9ae9dbb9"
"gita.4.7","4","7","Krishna","यदा यदा हि धर्मस्य ग्लानिर्भवति भारत।
अभ्युत्थानमधर्मस्य तदात्मानं सृजाम्यहम् ॥","yadā yadā hi dharmasya glānirbhavati bhārata
abhyutthānamadharmasya tadātmānaṃ sṛjāmyaham","Whensoever, O descendant of Bharata! piety languishes, and impiety is in the ascendant, I create myself.","machine-aligned; two human reviews pending","1645697ca611a6fb0e2107af26c41bd7b7087e3dea3aa0a49de0e60db893a979"
"gita.4.8","4","8","Krishna","परित्राणाय साधूनां विनाशाय च दुष्कृताम्।
धर्मसंस्थापनार्थाय सम्भवामि युगे युगे ॥","paritrāṇāya sādhūnāṃ vināśāya ca duṣkṛtām
dharmasaṃsthāpanārthāya sambhavāmi yuge yuge","I am born age after age, for the protection of the good, for the destruction of evil-doers, and the establishment of piety.","machine-aligned; two human reviews pending","08aed83f620e487b876ee2a8d7aed14c0873a2a3cd955e4daa7a4ed1b58b757d"
"gita.4.9","4","9","Krishna","जन्म कर्म च मे दिव्यमेवं यो वेत्ति तत्त्वतः।
त्यक्त्वा देहं पुनर्जन्म नैति मामेति सोऽर्जुन ॥","janma karma ca me divyamevaṃ yo vetti tattvataḥ
tyaktvā dehaṃ punarjanma naiti māmeti so.arjuna","Whoever truly knows thus my divine birth and work, casts off (this) body and is not born again. He comes to me O Arjuna! Many from whom affection","machine-aligned; two human reviews pending","bbe0cd8b6988298fc13413a83962669ba6e5f512f1d6ea5ea8ffe784ae7e6b37"
"gita.4.10","4","10","Krishna","वीतरागभयक्रोधा मन्मया मामुपाश्रिताः।
बहवो ज्ञानतपसा पूता मद्भावमागताः ॥","vītarāgabhayakrodhā manmayā māmupāśritāḥ
bahavo jñānatapasā pūtā madbhāvamāgatāḥ","fear","machine-aligned; two human reviews pending","14f252bf5f1d72537d3eed557f288f3573eecfe65480383f31850e90749c6722"
"gita.4.11","4","11","Krishna","ये यथा मां प्रपद्यन्ते तांस्तथैव भजाम्यहम्।
मम वर्त्मानुवर्तन्ते मनुष्याः पार्थ सर्वशः ॥","ye yathā māṃ prapadyante tāṃstathaiva bhajāmyaham
mama vartmānuvartante manuṣyāḥ pārtha sarvaśaḥ","and wrath have departed who are full of me who depend on me and who are purified by the penance of knowledge have come into my essence. I serve men in the way in which they approach me. In every way, O son of Pṛthā! men follow in my path.","machine-aligned; two human reviews pending","169ea94de197557e9bdcc0279a3397e5736d4c7881688aa0d645afd31dd5fe42"
"gita.4.12","4","12","Krishna","काङ्क्षन्तः कर्मणां सिद्धिं यजन्त इह देवताः।
क्षिप्रं हि मानुषे लोके सिद्धिर्भवति कर्मजा ॥","kāṅkṣantaḥ karmaṇāṃ siddhiṃ yajanta iha devatāḥ
kṣipraṃ hi mānuṣe loke siddhirbhavati karmajā","Desiring the success of actions, men in this world worship the divinities, for in this world of mortals, the success produced by action is soon obtained.","machine-aligned; two human reviews pending","067f36d2393d941b5ec27e3db291c4685d7a4a1b732efb7240432ed4af38c9bc"
"gita.4.13","4","13","Krishna","चातुर्वर्ण्यं मया सृष्टं गुणकर्मविभागशः।
तस्य कर्तारमपि मां विद्ध्यकर्तारमव्ययम् ॥","cāturvarṇyaṃ mayā sṛṣṭaṃ guṇakarmavibhāgaśaḥ
tasya kartāramapi māṃ viddhyakartāramavyayam","The fourfold division of castes was created by me according to the apportionment of qualities and duties. But though I am its author know me to be inexhaustible and not the author.","machine-aligned; two human reviews pending","e69748a9a0d0f54be817664fe0f22493ee3c1116e53d744dca1a6184ca4a9449"
"gita.4.14","4","14","Krishna","न मां कर्माणि लिम्पन्ति न मे कर्मफले स्पृहा।
इति मां योऽभिजानाति कर्मभिर्न स बध्यते ॥","na māṃ karmāṇi limpanti na me karmaphale spṛhā
iti māṃ yo.abhijānāti karmabhirna sa badhyate","Actions defile me not. I have no attachment to the fruit of actions. He who knows me thus is not tied down by actions.","machine-aligned; two human reviews pending","ae9394222332b097ef05dd82722475bfcf7877f04efa49d91b18ff8d54d91c40"
"gita.4.15","4","15","Krishna","एवं ज्ञात्वा कृतं कर्म पूर्वैरपि मुमुक्षुभिः।
कुरु कर्मैव तस्मात्त्वं पूर्वैः पूर्वतरं कृतम् ॥","evaṃ jñātvā kṛtaṃ karma pūrvairapi mumukṣubhiḥ
kuru karmaiva tasmāttvaṃ pūrvaiḥ pūrvataraṃ kṛtam","Knowing this, the men of old who wished for final emancipation, performed action.","machine-aligned; two human reviews pending","f77d6358c74086665a67a737ae9f5184d4062af651f1965e6588d74558df50cf"
"gita.4.16","4","16","Krishna","किं कर्म किमकर्मेति कवयोऽप्यत्र मोहिताः।
तत्ते कर्म प्रवक्ष्यामि यज्ज्ञात्वा मोक्ष्यसेऽशुभात् ॥","kiṃ karma kimakarmeti kavayo.apyatra mohitāḥ
tatte karma pravakṣyāmi yajjñātvā mokṣyase.aśubhāt","Therefore do you, too, perform action as was done by men of old in olden times. Even sages are confused as to what is action, what inaction. Therefore I will speak to you about action, and learning that, you will be freed from (this world of) evil. One must possess knowledge about action","machine-aligned; two human reviews pending","addf24d32e40971cee12ea2b4078aea4c7315e24ee417a36bed0dac6f79af2eb"
"gita.4.17","4","17","Krishna","कर्मणो ह्यपि बोद्धव्यं बोद्धव्यं च विकर्मणः।
अकर्मणश्च बोद्धव्यं गहना कर्मणो गतिः ॥","karmaṇo hyapi boddhavyaṃ boddhavyaṃ ca vikarmaṇaḥ
akarmaṇaśca boddhavyaṃ gahanā karmaṇo gatiḥ","one must also possess knowledge about prohibited action and again one must possess knowledge about inaction. The truth regarding action is abstruse.","machine-aligned; two human reviews pending","b977794f293eb1cfc19994c7cb5aa58d073d3d7dc9f6f633dcba6bc535d21d19"
"gita.4.18","4","18","Krishna","कर्मण्यकर्म यः पश्येदकर्मणि च कर्म यः।
स बुद्धिमान्मनुष्येषु स युक्तः कृत्स्नकर्मकृत् ॥","karmaṇyakarma yaḥ paśyedakarmaṇi ca karma yaḥ
sa buddhimānmanuṣyeṣu sa yuktaḥ kṛtsnakarmakṛt","He is wise among men, he is possessed of devotion, and performs all actions, who sees inaction in action, and action in inaction.","machine-aligned; two human reviews pending","c61bb10289a34ba473081a6442c8ddb7dc95aeb4f8cd61025fd29679bb60a831"
"gita.4.19","4","19","Krishna","यस्य सर्वे समारम्भाः कामसङ्कल्पवर्जिताः।
ज्ञानाग्निदग्धकर्माणं तमाहुः पण्डितं बुधाः ॥","yasya sarve samārambhāḥ kāmasaṅkalpavarjitāḥ
jñānāgnidagdhakarmāṇaṃ tamāhuḥ paṇḍitaṃ budhāḥ","The wise call him learned, whose acts are all free from desires and fancies, and whose actions are burnt down by the fire of knowledge.","machine-aligned; two human reviews pending","8caca08aad95a1926455a6845a54ad98fb11307681d39c1b25f10247e013989a"
"gita.4.20","4","20","Krishna","त्यक्त्वा कर्मफलासङ्गं नित्यतृप्तो निराश्रयः।
कर्मण्यभिप्रवृत्तोऽपि नैव किञ्चित्करोति सः ॥","tyaktvā karmaphalāsaṅgaṃ nityatṛpto nirāśrayaḥ
karmaṇyabhipravṛtto.api naiva kiñcitkaroti saḥ","Forsaking all attachment to the fruit of action, always contented, dependent on none, he does nothing at all, though he engages in action.","machine-aligned; two human reviews pending","33c9a7f1f24d14e404558c20c482f2c6ba06eb62d97491b6fc6960acef0ad467"
"gita.4.21","4","21","Krishna","निराशीर्यतचित्तात्मा त्यक्तसर्वपरिग्रहः।
शारीरं केवलं कर्म कुर्वन्नाप्नोति किल्बिषम् ॥","nirāśīryatacittātmā tyaktasarvaparigrahaḥ
śārīraṃ kevalaṃ karma kurvannāpnoti kilbiṣam","Devoid of expectations, restraining the mind and the self, and casting off all belongings, he incurs no sin, performing actions merely for the sake of the body.","machine-aligned; two human reviews pending","004bf819a840439dbd4c1befd910675ab52c412015ee5f3cb414785049b24a6f"
"gita.4.22","4","22","Krishna","यदृच्छालाभसन्तुष्टो द्वन्द्वातीतो विमत्सरः।
समः सिद्धावसिद्धौ च कृत्वापि न निबध्यते ॥","yadṛcchālābhasantuṣṭo dvandvātīto vimatsaraḥ
samaḥ siddhāvasiddhau ca kṛtvāpi na nibadhyate","Satisfied with earnings coming spontaneously rising above the pairs of opposites free from all animosity and equable on success or ill-success he is not fettered down even though he performs (actions).","machine-aligned; two human reviews pending","91571102462d2bf323ba82df6287d1c7b60da00d4c05e98626f37562700e284e"
"gita.4.23","4","23","Krishna","गतसङ्गस्य मुक्तस्य ज्ञानावस्थितचेतसः।
यज्ञायाचरतः कर्म समग्रं प्रविलीयते ॥","gatasaṅgasya muktasya jñānāvasthitacetasaḥ
yajñāyācarataḥ karma samagraṃ pravilīyate","The acts of one who is devoid of attachment who is free whose mind is fixed on knowledge and who performs action for (the purpose of) the sacrifice are all destroyed.","machine-aligned; two human reviews pending","aa4167f1ab4b69cfc42144872cfd3d017f872bf0b4af92b063100825fe3e4be2"
